ID,Process ID,Process Name,Host Name,Kernel Name,Context,Stream,Block Size,Grid Size,Device,CC,Section Name,Metric Name,Metric Unit,Metric Value,mode,stall_reason,value_pct,stage
3,17792,softmax_bench,127.0.0.1,"void detail::static_kernel<detail::policy_350_t, long, cuda_cub::unary_transform_f<counting_iterator<int, use_default, use_default, use_default>, float *, cuda_cub::no_stencil_tag, <unnamed>::NormalizeWithRowSum, cuda_cub::always_true_predicate>>(T2, T3)",1,7,"(256, 1, 1)","(8192, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct,%,8.35,library,short_scoreboard,8.35,Thrust normalize
0,17889,softmax_bench,127.0.0.1,"void <unnamed>::softmax_max_kernel<256>(const float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_wait_per_warp_active.pct,%,8.17,user,wait,8.17,"void <unnamed>::softmax_max_kernel<256>(const float *, float *, int..."
0,17972,softmax_bench,127.0.0.1,"void <unnamed>::softmax_block_loop_kernel<256, 32>(const float *, float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_not_selected_per_warp_active.pct,%,8.12,user_v2,not_selected,8.12,block_loop
0,18018,python3.10,127.0.0.1,"void <unnamed>::softmax_warp_forward<float, float, float, 10, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)",1,7,"(32, 4, 1)","(1024, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_lg_throttle_per_warp_active.pct,%,7.68,framework_torch,lg_throttle,7.68,torch softmax_warp_forward
2,17792,softmax_bench,127.0.0.1,"void DeviceSegmentedReduceKernel<DeviceReducePolicy<float, int, cuda::plus<void>>::Policy600, float *, float *, transform_iterator<<unnamed>::RowOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, transform_iterator<<unnamed>::RowEndOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, int, cuda::plus<void>, float, float>(T2, T3, T4, T5, int, T7, T8)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct,%,6.37,library,short_scoreboard,6.37,CUB row sum
0,17792,softmax_bench,127.0.0.1,"void DeviceSegmentedReduceKernel<DeviceReducePolicy<float, int, Max>::Policy600, const float *, float *, transform_iterator<<unnamed>::RowOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, transform_iterator<<unnamed>::RowEndOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, int, Max, float, float>(T2, T3, T4, T5, int, T7, T8)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct,%,5.52,library,short_scoreboard,5.52,CUB row max
1,17792,softmax_bench,127.0.0.1,"void detail::static_kernel<detail::policy_350_t, long, cuda_cub::unary_transform_f<counting_iterator<int, use_default, use_default, use_default>, float *, cuda_cub::no_stencil_tag, <unnamed>::ExpWithRowMax, cuda_cub::always_true_predicate>>(T2, T3)",1,7,"(256, 1, 1)","(8192, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct,%,5.38,library,short_scoreboard,5.38,Thrust exp
0,17934,softmax_bench,127.0.0.1,"void <unnamed>::softmax_block_loop_kernel<256, 32>(const float *, float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_not_selected_per_warp_active.pct,%,4.7,user_v1,not_selected,4.7,block_loop
0,17754,softmax_bench,127.0.0.1,"<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_not_selected_per_warp_active.pct,%,4.42,baseline,not_selected,4.42,baseline kernel
0,18018,python3.10,127.0.0.1,"void <unnamed>::softmax_warp_forward<float, float, float, 10, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)",1,7,"(32, 4, 1)","(1024, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_not_selected_per_warp_active.pct,%,4.4,framework_torch,not_selected,4.4,torch softmax_warp_forward
3,17792,softmax_bench,127.0.0.1,"void detail::static_kernel<detail::policy_350_t, long, cuda_cub::unary_transform_f<counting_iterator<int, use_default, use_default, use_default>, float *, cuda_cub::no_stencil_tag, <unnamed>::NormalizeWithRowSum, cuda_cub::always_true_predicate>>(T2, T3)",1,7,"(256, 1, 1)","(8192, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_not_selected_per_warp_active.pct,%,3.56,library,not_selected,3.56,Thrust normalize
2,17792,softmax_bench,127.0.0.1,"void DeviceSegmentedReduceKernel<DeviceReducePolicy<float, int, cuda::plus<void>>::Policy600, float *, float *, transform_iterator<<unnamed>::RowOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, transform_iterator<<unnamed>::RowEndOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, int, cuda::plus<void>, float, float>(T2, T3, T4, T5, int, T7, T8)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_barrier_per_warp_active.pct,%,3.18,library,barrier,3.18,CUB row sum
1,17889,softmax_bench,127.0.0.1,"void <unnamed>::softmax_block_loop_kernel<256, 32>(const float *, float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_not_selected_per_warp_active.pct,%,3.0,user,not_selected,3.0,block_loop
0,17792,softmax_bench,127.0.0.1,"void DeviceSegmentedReduceKernel<DeviceReducePolicy<float, int, Max>::Policy600, const float *, float *, transform_iterator<<unnamed>::RowOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, transform_iterator<<unnamed>::RowEndOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, int, Max, float, float>(T2, T3, T4, T5, int, T7, T8)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_barrier_per_warp_active.pct,%,2.97,library,barrier,2.97,CUB row max
1,17792,softmax_bench,127.0.0.1,"void detail::static_kernel<detail::policy_350_t, long, cuda_cub::unary_transform_f<counting_iterator<int, use_default, use_default, use_default>, float *, cuda_cub::no_stencil_tag, <unnamed>::ExpWithRowMax, cuda_cub::always_true_predicate>>(T2, T3)",1,7,"(256, 1, 1)","(8192, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_not_selected_per_warp_active.pct,%,2.76,library,not_selected,2.76,Thrust exp
2,17792,softmax_bench,127.0.0.1,"void DeviceSegmentedReduceKernel<DeviceReducePolicy<float, int, cuda::plus<void>>::Policy600, float *, float *, transform_iterator<<unnamed>::RowOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, transform_iterator<<unnamed>::RowEndOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, int, cuda::plus<void>, float, float>(T2, T3, T4, T5, int, T7, T8)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_branch_resolving_per_warp_active.pct,%,1.93,library,branch_resolving,1.93,CUB row sum
0,17792,softmax_bench,127.0.0.1,"void DeviceSegmentedReduceKernel<DeviceReducePolicy<float, int, Max>::Policy600, const float *, float *, transform_iterator<<unnamed>::RowOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, transform_iterator<<unnamed>::RowEndOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, int, Max, float, float>(T2, T3, T4, T5, int, T7, T8)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_branch_resolving_per_warp_active.pct,%,1.8,library,branch_resolving,1.8,CUB row max
3,17792,softmax_bench,127.0.0.1,"void detail::static_kernel<detail::policy_350_t, long, cuda_cub::unary_transform_f<counting_iterator<int, use_default, use_default, use_default>, float *, cuda_cub::no_stencil_tag, <unnamed>::NormalizeWithRowSum, cuda_cub::always_true_predicate>>(T2, T3)",1,7,"(256, 1, 1)","(8192, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_branch_resolving_per_warp_active.pct,%,1.57,library,branch_resolving,1.57,Thrust normalize
0,17889,softmax_bench,127.0.0.1,"void <unnamed>::softmax_max_kernel<256>(const float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_branch_resolving_per_warp_active.pct,%,1.15,user,branch_resolving,1.15,"void <unnamed>::softmax_max_kernel<256>(const float *, float *, int..."
1,17792,softmax_bench,127.0.0.1,"void detail::static_kernel<detail::policy_350_t, long, cuda_cub::unary_transform_f<counting_iterator<int, use_default, use_default, use_default>, float *, cuda_cub::no_stencil_tag, <unnamed>::ExpWithRowMax, cuda_cub::always_true_predicate>>(T2, T3)",1,7,"(256, 1, 1)","(8192, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_drain_per_warp_active.pct,%,1.15,library,drain,1.15,Thrust exp
